_RAJ2000,_DEJ2000,rest,g,r,i,J,H,K,W1,W2,W3,W4
45.14235257,0.277927323,910.7265442,7.722060026,6.864060026,6.651060026,5.430060026,4.886060026,4.825060026,4.645060026,4.751060026,2.823060026,-1.063939974
45.13862845,0.318987981,383.0191121,7.922897774,6.588897774,6.031897774,7.739897774,6.998897774,6.630897774,6.472897774,6.422897774,4.346897774,1.172897774
45.13862845,0.318987981,383.0191121,7.888897774,6.551897774,5.960897774,7.739897774,6.998897774,6.630897774,6.472897774,6.422897774,4.346897774,1.172897774
45.13475639,0.321551768,238.2112492,8.954188667,7.620188667,7.063188667,5.531188667,4.883188667,4.718188667,4.618188667,4.703188667,4.545188667,1.527188667
45.13475639,0.321551768,238.2112492,8.920188667,7.583188667,6.992188667,5.531188667,4.883188667,4.718188667,4.618188667,4.703188667,4.545188667,1.527188667
45.04785683,0.295073943,854.0746087,5.853520947,5.165520947,4.950520947,3.888520947,3.470520947,3.390520947,3.327520947,3.346520947,2.664520947,-0.611479053
45.04785683,0.295073943,854.0746087,5.881520947,5.207520947,4.991520947,3.888520947,3.470520947,3.390520947,3.327520947,3.346520947,2.664520947,-0.611479053
45.06125713,0.284731748,676.4045104,5.209967526,4.757967526,4.597967526,3.676967526,3.373967526,3.271967526,3.238967526,3.257967526,3.411967526,0.062967526
45.06125713,0.284731748,676.4045104,5.269967526,4.705967526,4.628967526,3.676967526,3.373967526,3.271967526,3.238967526,3.257967526,3.411967526,0.062967526
45.0220336,0.286650318,1130.403908,5.775831749,5.222831749,5.041831749,4.158831749,3.768831749,3.703831749,3.663831749,3.627831749,1.982831749,-1.048168251
45.0220336,0.286650318,1130.403908,5.778831749,5.276831749,5.096831749,4.158831749,3.768831749,3.703831749,3.663831749,3.627831749,1.982831749,-1.048168251
45.20138193,0.342090182,960.4672112,3.725587283,3.203587283,3.029587283,6.411587283,6.008587283,5.410587283,5.454587283,5.409587283,2.491587283,-1.095412717
45.19462196,0.344149472,745.9757492,4.274376454,3.752376454,3.578376454,2.640376454,2.305376454,2.272376454,2.186376454,2.228376454,2.033376454,-0.858623546
45.20459588,0.327126661,221.402635,6.483086074,5.750086074,5.486086074,4.347086074,3.863086074,3.792086074,3.681086074,3.708086074,3.677086074,1.895086074
45.13603807,0.335043306,751.0334605,1.562703568,0.845703568,0.566703568,-0.602296432,-1.067296432,-1.128296432,-1.247296432,-1.206296432,-1.254296432,-0.911296432
45.2000077,0.37025322,351.0591914,9.150098259,7.797098259,7.244098259,5.736098259,5.036098259,4.852098259,4.793098259,4.832098259,4.299098259,1.338098259
45.2063088,0.39244353,1186.322375,6.281986392,5.510986392,5.312986392,4.236986392,3.707986392,3.706986392,3.535986392,3.570986392,1.805986392,-1.273013608
45.2063088,0.39244353,1186.322375,6.304986392,5.541986392,5.253986392,4.236986392,3.707986392,3.706986392,3.535986392,3.570986392,1.805986392,-1.273013608
45.14137056,0.359608098,117.8850048,5.112707172,4.664707172,4.520707172,3.635707172,3.328707172,3.293707172,3.229707172,3.272707172,3.240707172,3.215707172
45.15296209,0.386342462,186.0641377,3.914686627,3.585686627,3.504686627,2.665686627,2.435686627,2.376686627,2.313686627,2.337686627,2.314686627,2.228686627
45.15296209,0.386342462,186.0641377,3.961686627,3.582686627,3.459686627,2.665686627,2.435686627,2.376686627,2.313686627,2.337686627,2.314686627,2.228686627
45.16222312,0.391993712,331.7192274,2.659146774,2.330146774,2.249146774,8.782146774,8.081146774,7.937146774,7.698146774,7.539146774,5.023146774,0.738146774
45.16222312,0.391993712,331.7192274,2.706146774,2.327146774,2.204146774,8.782146774,8.081146774,7.937146774,7.698146774,7.539146774,5.023146774,0.738146774
45.11277856,0.380841767,463.0498691,2.745861171,2.285861171,2.138861171,1.238861171,0.981861171,0.877861171,0.810861171,0.833861171,0.837861171,0.111861171
45.13834973,0.399185224,424.5165566,5.047526836,4.609526836,4.449526836,3.530526836,3.233526836,3.176526836,3.102526836,3.136526836,3.157526836,0.680526836
