ALLWISE_RAJ2000,ALLWISE_DEJ2000,ALLWISE_W1mag,ALLWISE_W2mag,ALLWISE_W3mag,ALLWISE_W4mag,ALLWISE_Jmag,ALLWISE_Hmag,ALLWISE_Kmag,APASS_RAJ2000,APASS_DEJ2000,APASS_g'mag,APASS_r'mag,APASS_i'mag,OB star?
0.234342285,0.115821904,0.424382895,0.441055333,0.569726049,0.696237551,0.608917964,0.536765227,0.52311915,0.234342256,0.115821892,0.92838128,0.94580486,0.841123141,0
0.232899738,0.116840832,0.551975895,0.569092103,0.751586442,0.776742899,0.762463343,0.713536127,0.703286649,0.232899561,0.116840444,0.904594246,0.998955961,0.932664378,0
0.234999838,0.10676074,0.574689999,0.592789351,0.761259867,0.783935817,0.766298218,0.714245196,0.703145893,0.234999604,0.106760583,0.955689137,1.03435839,0.957398116,0
0.232741683,0.117006026,0.524046819,0.540798663,0.698111747,0.793803025,0.700804572,0.648939942,0.640157647,0.232741573,0.11700618,0.898153714,0.965356872,0.88918229,0
0.231293838,0.10564361,0.535172094,0.552557751,0.716065625,0.803854666,0.703586736,0.65858328,0.65092547,0.231293594,0.105643759,0.859167024,0.940394837,0.885661473,0
0.23224392,0.116903877,0.560377796,0.576254999,0.750425631,0.795831796,0.771486578,0.716868751,0.707157435,0.232244093,0.116904297,0.963417776,1.054859529,0.964263709,0
0.230185146,0.108284259,0.36429482,0.374798544,0.485451169,0.567502767,0.540115798,0.464582004,0.444436625,0.23018502,0.108284191,0.926320309,0.90015186,0.784790071,0
0.235878284,0.111169296,0.216131649,0.20999224,0.282773564,0.323589082,0.402135499,0.305679643,0.289042156,0.235878463,0.11116883,0.845427222,0.76983675,0.619751782,0
0.230457446,0.107105678,0.44669139,0.463260312,0.597430738,0.711453338,0.612226483,0.556193718,0.546273489,0.230457289,0.10710541,0.837612709,0.874335611,0.799577502,0
0.235255472,0.114806984,0.514486035,0.53166597,0.68789661,0.779048322,0.676216257,0.636885769,0.626856218,0.23525541,0.114806919,0.851867754,0.902429765,0.851861632,0
0.235035552,0.106292572,0.46992699,0.485405599,0.630939483,0.743544817,0.630498534,0.581578388,0.573932015,0.23503555,0.106292577,0.821124946,0.878132118,0.806443095,0
0.234647434,0.116179137,0.574863831,0.593983167,0.765284012,0.818148285,0.755921498,0.710203503,0.703145893,0.234647327,0.116178865,0.923658222,1.017369021,0.948155972,0
0.233330541,0.117392055,0.127940665,0.177341372,0.240520043,0.276466249,0.333032559,0.250372261,0.228306003,0.233329919,0.117391979,0.727007299,0.676632498,0.55848957,0
0.235981031,0.111383298,0.584366671,0.602339879,0.780451942,0.77582073,0.773140838,0.722895838,0.713913717,0.235980979,0.111383299,0.941519966,1.035971906,0.962151219,0
